 ******* Program HYDRUS
 ******* 
 PFOS                                                                    
 Date:   8.11.2022    Time:  15:44:14
 Units: L = cm   , T = days , M = µg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    2      2.11     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    3      4.21     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    4      6.32     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    5      8.42     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    6     10.53     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    7     12.63     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    8     14.74     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
    9     16.84     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   10     18.95     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   11     21.05     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   12     23.16     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   13     25.26     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   14     27.37     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   15     29.47     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   16     31.58     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   17     33.68     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   18     35.79     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   19     37.89     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   20     40.00     0.200     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
end
