 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15.11.2022    Time:  16:13: 7
 Units: L = cm   , T = days , M = µg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    2      0.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    3      0.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    4      1.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    5      1.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    6      2.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    7      2.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    8      2.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    9      3.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   10      3.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   11      4.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   12      4.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   13      4.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   14      5.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   15      5.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   16      6.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   17      6.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   18      6.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   19      7.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   20      7.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   21      8.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   22      8.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   23      8.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   24      9.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   25      9.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   26     10.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   27     10.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   28     10.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   29     11.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   30     11.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   31     12.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   32     12.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   33     12.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   34     13.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   35     13.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   36     14.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   37     14.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   38     14.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   39     15.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   40     15.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   41     16.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   42     16.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   43     16.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   44     17.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   45     17.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   46     18.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   47     18.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   48     18.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   49     19.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   50     19.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   51     20.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   52     20.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   53     20.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   54     21.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   55     21.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   56     22.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   57     22.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   58     22.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   59     23.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   60     23.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   61     24.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   62     24.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   63     24.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   64     25.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   65     25.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   66     26.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   67     26.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   68     26.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   69     27.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   70     27.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   71     28.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   72     28.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   73     28.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   74     29.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   75     29.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   76     30.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   77     30.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   78     30.80     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   79     31.20     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   80     31.60     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   81     32.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   82     32.40     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
