 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15.11.2022    Time:  17:50:58
 Units: L = cm   , T = days , M = µg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    2      0.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    3      0.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    4      0.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    5      1.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    6      1.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    7      1.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    8      1.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
    9      2.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   10      2.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   11      2.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   12      2.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   13      3.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   14      3.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   15      3.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   16      3.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   17      4.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   18      4.25     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   19      4.50     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   20      4.75     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   21      5.00     0.078     0.310       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   22      5.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   23      5.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   24      5.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   25      6.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   26      6.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   27      6.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   28      6.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   29      7.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   30      7.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   31      7.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   32      7.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   33      8.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   34      8.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   35      8.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   36      8.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   37      9.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   38      9.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   39      9.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   40      9.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   41     10.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   42     10.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   43     10.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   44     10.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   45     11.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   46     11.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   47     11.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   48     11.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   49     12.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   50     12.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   51     12.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   52     12.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   53     13.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   54     13.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   55     13.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   56     13.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   57     14.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   58     14.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   59     14.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   60     14.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   61     15.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   62     15.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   63     15.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   64     15.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   65     16.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   66     16.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   67     16.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   68     16.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   69     17.00     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   70     17.25     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   71     17.50     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
   72     17.75     0.078     0.400       0.0   0.200E+02     1.000     0.000     1.000     1.000     1.000
